idade,principio_ativo,quantidade_vendida,ano
30,AZITROMICINA DI-HIDRATADA,36,2020
30,AZITROMICINA DI-HIDRATADA,36,2020
38,AZITROMICINA DI-HIDRATADA,36,2020
43,AZITROMICINA DI-HIDRATADA,36,2020
55,AZITROMICINA DI-HIDRATADA,36,2020
60,AZITROMICINA DI-HIDRATADA,36,2020
29,AZITROMICINA DI-HIDRATADA,36,2020
58,AZITROMICINA DI-HIDRATADA,36,2020
27,AZITROMICINA DI-HIDRATADA,36,2020
40,AZITROMICINA DI-HIDRATADA,36,2020
42,AZITROMICINA DI-HIDRATADA,36,2020
42,AZITROMICINA DI-HIDRATADA,36,2020
26,AZITROMICINA DI-HIDRATADA,36,2020
31,AZITROMICINA DI-HIDRATADA,36,2020
40,AZITROMICINA DI-HIDRATADA,36,2020
33,AZITROMICINA DI-HIDRATADA,36,2020
37,AZITROMICINA DI-HIDRATADA,36,2020
49,AZITROMICINA DI-HIDRATADA,36,2020
42,AZITROMICINA DI-HIDRATADA,36,2020
42,AZITROMICINA DI-HIDRATADA,36,2020
44,AZITROMICINA DI-HIDRATADA,36,2020
36,AZITROMICINA DI-HIDRATADA,36,2020
20,AZITROMICINA DI-HIDRATADA,36,2020
35,AZITROMICINA DI-HIDRATADA,36,2020
48,AZITROMICINA DI-HIDRATADA,35,2020
32,AZITROMICINA DI-HIDRATADA,35,2020
22,AZITROMICINA DI-HIDRATADA,35,2020
33,AZITROMICINA DI-HIDRATADA,35,2020
48,AZITROMICINA DI-HIDRATADA,35,2020
35,AZITROMICINA DI-HIDRATADA,35,2020
32,AZITROMICINA DI-HIDRATADA,35,2020
38,AZITROMICINA DI-HIDRATADA,35,2020
58,AZITROMICINA DI-HIDRATADA,35,2020
39,AZITROMICINA DI-HIDRATADA,35,2020
30,AZITROMICINA DI-HIDRATADA,35,2020
42,AZITROMICINA DI-HIDRATADA,35,2020
20,AZITROMICINA DI-HIDRATADA,35,2020
20,AZITROMICINA DI-HIDRATADA,35,2020
35,AZITROMICINA DI-HIDRATADA,35,2020
46,AZITROMICINA DI-HIDRATADA,35,2020
49,AZITROMICINA DI-HIDRATADA,35,2020
25,AZITROMICINA DI-HIDRATADA,35,2020
34,AZITROMICINA DI-HIDRATADA,35,2020
28,AZITROMICINA DI-HIDRATADA,35,2020
24,AZITROMICINA DI-HIDRATADA,35,2020
29,AZITROMICINA DI-HIDRATADA,35,2020
45,AZITROMICINA DI-HIDRATADA,35,2020
30,AZITROMICINA DI-HIDRATADA,35,2020
42,AZITROMICINA DI-HIDRATADA,35,2020
